trial_number,val_hit_rate,val_macro_f1,val_spearman_rho,val_loss,val_accuracy,epochs,learning_rate,weight_decay,d_model,num_heads,num_layers,dropout
0,1.0,0.043675751222921035,nan,1.8207647002674354,0.09571209800918837,50,0.0009330606024425672,0.021368329072358756,128,2,3,0.004116898859160489
1,1.0,0.043675751222921035,nan,1.7675450959943155,0.09571209800918837,50,0.0002858051065806936,0.013826232179369865,64,4,3,0.07327236865873835
2,1.0,0.043675751222921035,nan,1.8772277658602727,0.09571209800918837,50,0.00012521954287060397,0.005456725485601475,256,4,4,0.06092275383467414
3,1.0,0.043675751222921035,nan,1.6042302697212372,0.09571209800918837,50,0.0009323621351781479,0.012604664585649461,256,4,2,0.03697089110510541
4,1.0,0.04519460488384097,0.01524115044639952,1.4809464281952582,0.09647779479326186,50,0.00022738055735631828,0.000132965214572995,64,2,4,0.1657475018303859
6,1.0,0.043675751222921035,nan,1.9143136582732383,0.09571209800918837,50,0.00029662989987000704,3.0086868214458443e-05,256,2,4,0.1774425485152653
9,1.0,0.043675751222921035,nan,1.8207647002674354,0.09571209800918837,50,0.0009330606024425672,0.021368329072358756,128,2,3,0.004116898859160489
11,1.0,0.043675751222921035,nan,1.8120921247768549,0.09571209800918837,50,0.0005190026940471794,0.0014580607953028713,128,8,6,0.0035923751229639256
15,1.0,0.043675751222921035,nan,1.735664855101207,0.09571209800918837,50,0.0007030660441283881,0.0002799558452595082,64,8,6,0.022553609777719842
19,1.0,0.043675751222921035,nan,1.6872469853113474,0.09571209800918837,50,0.00010363593787464721,0.00046157025431648347,128,2,6,0.030257856730290703
20,1.0,0.043675751222921035,nan,1.3942620062353417,0.09571209800918837,50,0.00023741975505253826,0.03557114814711287,64,8,2,0.12519958496529365
21,1.0,0.043675751222921035,nan,1.7688478937923087,0.09571209800918837,50,0.0003951684210201337,0.002076077856278657,128,4,3,0.05497058979905255
24,1.0,0.043675751222921035,nan,1.5466972709979983,0.09571209800918837,50,0.00014918072672387992,0.04567383174358716,256,4,4,0.0909134503290017
25,1.0,0.043675751222921035,nan,1.4248498977599793,0.09571209800918837,50,0.00020069677256767267,0.0035578594776611828,256,4,3,0.0679151041806106
27,1.0,0.043675751222921035,nan,1.3992049418401207,0.09571209800918837,50,0.0007552124897993966,0.0005358398881485422,64,4,2,0.11553847096697602
28,1.0,0.043675751222921035,nan,1.4720524209929462,0.09571209800918837,50,0.00012085501783774381,0.09240450171456616,256,4,6,0.01598264378204385
